Id_Number,Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
30,Colima's Mexican Food,Bandido,3/3/2016,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,,6.49,4.5,,,,,,3,4.5,3.5,3.5,3.5,3,3,3,4,3,,Eli,Promising start but finished poorly,,,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,
31,Rigoberto's Taco Shop,Carne asada,3/8/2016,Miramar,7094 Miramar Rd,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,,6.6,3.5,,,,,,4,2,4,3.5,4.5,4,3.5,4,1,4.25,,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Rigoberto's Taco Shop,Campeon,3/8/2016,Miramar,7094 Miramar Rd,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,,7.65,3.5,,,,,,3,1.5,3,3,2.5,3,3.5,2.5,4,3.4,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Raul's Mexican food,Chile verde pork,3/11/2016,Encinitas,490 S Coast Hwy 101,https://www.yelp.com/biz/rauls-shack-encinitas,4,4.2,,5,3.5,,,,,,2,,2.5,2,2,2,2,2.5,,2,,Emily,,,,,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,
34,Raul's Mexican food,carne asada,3/11/2016,Encinitas,490 S Coast Hwy 101,https://www.yelp.com/biz/rauls-shack-encinitas,4,4.2,,5,1,,,,,,2,,1,1,0.5,1,1.5,1,4,1,,Scott,burrito was mostly tortilla,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,El Zarape,California,3/14/2016,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,x,6.25,0.5,,,,,,3,5,4,2.75,4,1.6,3.5,3.4,5,3.33333,,Kelsey,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,El Zarape,California chicken,3/14/2016,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,x,6.25,3,,,,,,3.5,5,2.5,2.5,4,2.7,3.5,3,5,2.5,,Sage,,,,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,El Zarape,Azteca,3/14/2016,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,x,6.25,3.75,,,,,,3,5,5,4.5,4,4,1.5,3,5,3,,Jake,,,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,
38,El Zarape,Lobster,3/14/2016,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,x,9.5,3,,,,,,3,3,4,3,3.5,4.5,3.5,3,3.5,3.2,,Scott,quite small,,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,x,,,,,,,,
39,El Indio,California,3/17/2016,San Diego,3695 India St,http://elindiosandiego.com/,3.5,3.9,,7.84,4,,,,,,4,4,3.5,4,4.5,4,3.5,3.5,4.5,4,,Scott,,,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Taco stand,Carne asada,3/18/2016,San Diego,3695 India St,http://elindiosandiego.com/,3.5,3.9,,7.89,1,,,,,,3,3.5,4.5,4,5,5,4.5,3.5,5,4.2,,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Taco stand,Al pastor,3/18/2016,San Diego,3695 India St,http://elindiosandiego.com/,3.5,3.9,,6.99,4,,,,,,4,3,3.5,3,4,5,3,3.5,5,3.5,,Emily,Kind of dry ,,,,,,,,,x,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,
42,"Qdoba Mexican Grill, Seatac Airport",Custom,3/19/2016,Seattle,Airport,,,,,9.5,5,,,,,,3,3,3.5,3,4,1,3,2.5,5,3,,Sage,,x,,,x,x,x,,,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,
43,Cancun Mexican & Seafood,California,3/20/2016,Encinitas,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,4.5,4.1,x,6.99,4,,,,,,4,4.5,4,3.5,4,2.5,2,4,4,4.2,,Scott,A bit small,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Cancun Mexican & Seafood,Machaca,3/20/2016,Encinitas,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,4.5,4.1,x,5.99,3,,,,,,4,3.5,3.5,4,3.5,3.5,2,3.5,0.5,3.9,,Emily,So hot! Egg is surprisingly good,,,x,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,
45,Vallarta express,Quesaburro,3/21/2016,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4,,6.95,3.5,,,,,,3,4,3.5,4,4,4,3.5,4.5,4.5,4.1,,Scott,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Vallarta express,Philly ,3/21/2016,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4,,6.95,4,,,,,,3,4.5,4,3,3,2,4,2,4.5,3,,Torben,Guac chips have lots of cheese,,,x,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,x,,,,
47,Vallarta express,Carne asada,3/21/2016,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4,,6.5,3.5,,,,,,3.75,5,3,3,4.5,4.5,3.5,3,4.5,3.25,,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Vallarta express,Quesa,3/21/2016,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4,,6.95,4.5,,,,,,2,5,3.5,4,2.5,5,3.5,2.5,4,3.75,,Alex,Heart-stopping amount of cheese. Second tortilla of cheese,,,x,x,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Vallarta express,Surf and turf,3/21/2016,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4,,7.65,3,,,,,,2,4,3,3,4,2,4,2,3,3.5,,Richard,Hot carrots,,,x,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,
50,Vallarta express,Mahi,3/21/2016,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4,,7.3,3,,,,,,3,4.5,3.5,3,3,2,3.5,2.5,4.5,3.5,,Tom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Mikes Taco Club,California,3/23/2016,Ocean Beach,5060 Newport Ave,http://www.mikestacoclub.com/menu/,4.5,4.9,,8.59,2.5,,,,,,4,4.5,3.5,5,2.5,2,4,4.5,4,4.3,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Mikes Taco Club,California,3/23/2016,Ocean Beach,5060 Newport Ave,http://www.mikestacoclub.com/menu/,4.5,4.9,,8.59,3.5,,,,,,4.5,4.5,4,4.5,4,4,4,4.5,5,4.5,,Brad,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,La Perla Cocina,Addiction,3/30/2016,Pacific Beach,745 Emerald St,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,,7.99,3.5,,,,,,4,4,2,3,1.5,3,2.5,1,3,2.5,,Scott,Bland,,,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,
54,La Perla Cocina,Oaxacalifornia,3/30/2016,Pacific Beach,745 Emerald St,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,,9.99,3,,,,,,4,4.5,3.5,4,3,2,2.5,3.5,4,4,,Emily,Fries are good,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Porkyland ,Deborah's special,4/2/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,8.25,3.5,,,,,,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4,,Scott,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
56,Porkyland ,Chicken nopalito,4/2/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,7.95,2.5,,,,,,2.5,2.5,4,3.5,3,2.5,3,3,5,3.3,,Emily,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,
57,Porkyland ,Chicken nopalito,4/2/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,7.95,2,,,,,,4,5,4,4,3,5,3,3,5,4,,Tara,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,
58,Porkyland ,California,4/2/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,8.75,3,,,,,,4,5,3,5,3,2,4,3,5,4,,Andy,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Rigoberto's Taco Shop,California ,4/3/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,6.6,3,,,,,,3,4.5,4,4.5,4,4.5,4.5,5,4.5,4.5,,Scott,,,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
60,Rigoberto's Taco Shop,Adobada,4/3/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,6.6,3,,,,,,4,5,5,5,5,4,,4.5,5,4.5,,Tara,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Rigoberto's Taco Shop,California,4/7/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,6.6,3,,,,,,3,5,3.5,3,4.5,2.5,3,4,4,3.6,,Scott,Too much enchilada sauce this time,,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
62,Rigoberto's Taco Shop,Surf & Turf,4/7/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,7.45,3.5,,,,,,3,5,3.5,2.5,3,2.5,3.75,3,4,3,,Bankole,Would have enjoyed it more if wasn't rating, shrimp better than meat. Quality of the shrimp really improves the burrito. Well cooked and fresh. Shrimp could have had more flavor,,,x,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,
63,Rudy's Taco Shop,Chicken,4/9/2016,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,4,4.3,,6.6,3.5,,,,,,3.5,3,4,4.5,3,1,3,4,0.5,2.8,No,Scott,"Salsa Fresca is good, way too small",,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Rudy's Taco Shop,Carnitas,4/9/2016,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,4,4.3,,6.6,3,,,,,,3,2.5,3,4,2,1,3,3,5,3,No,Emily,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Taco stand,Carne asada,4/14/2016,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,4,4.3,,7.89,3.5,,,,,,3,2,4.5,4,4,1.5,4.5,4.5,4.5,4.4,Yes,Scott,Too small ,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Taco stand,Carne asada,4/14/2016,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,4,4.3,,7.89,2,,,,,,3,2.5,4.5,3.5,4.5,3,4,3.5,5,3.5,Yes,Richard,A little small. No rice and beans or cheese or sour cream,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
